category,year,name,publication
Spot-News-Photography,1983,Bill Foley,Associated Press
Spot-News-Photography,1982,Ron Edmonds,Associated Press
Spot-News-Photography,1981,Larry C. Price,Fort Worth (TX) Star-Telegram
Spot-News-Photography,1980,Jahangir Razmi,Ettela'at
Spot-News-Photography,1979,Thomas J. Kelly III,Pottstown (PA) Mercury
Spot-News-Photography,1978,None,None
Spot-News-Photography,1977,Stanley Forman,Boston Herald American
Spot-News-Photography,1977,Neal Ulevich,Associated Press
Spot-News-Photography,1976,Stanley Forman,Boston Herald American
Spot-News-Photography,1975,Gerald H. Gay,The Seattle Times
Spot-News-Photography,1974,None,None
Spot-News-Photography,1973,Huynh Cong Ut,Associated Press
Spot-News-Photography,1972,Horst Faas and Michel Laurent,Associated Press
Spot-News-Photography,1971,John Paul Filo,Valley Daily News and Daily Dispatch
Spot-News-Photography,1970,Steve Starr,Associated Press
Spot-News-Photography,1969,Edward T. Adams,Associated Press
Spot-News-Photography,1968,Rocco Morabito,Jacksonville Journal
Spot-News-Reporting,1997,Staff,Newsday
Spot-News-Reporting,1996,Robert D. McFadden,The New York Times
Spot-News-Reporting,1995,Staff,Los Angeles Times
Spot-News-Reporting,1994,Staff,The New York Times
Spot-News-Reporting,1993,Staff,Los Angeles Times
Spot-News-Reporting,1992,Staff,Newsday
Spot-News-Reporting,1991,Staff,The Miami Herald
Telegraphic-Reporting-(International),1947,Eddy Gilmore,Associated Press
Telegraphic-Reporting-(International),1946,Homer William Bigart,New York Herald Tribune
Telegraphic-Reporting-(International),1945,Mark S. Watson,The Baltimore Sun
Telegraphic-Reporting-(International),1944,Daniel De Luce,Associated Press
Telegraphic-Reporting-(International),1943,Ira Wolfert,"North American Newspaper Alliance, Inc."
Telegraphic-Reporting-(International),1942,Laurence Edmund Allen,Associated Press
Telegraphic-Reporting-(National),1947,Edward T. Folliard,The Washington Post
Telegraphic-Reporting-(National),1946,Edward A. Harris,St. Louis Post-Dispatch
Telegraphic-Reporting-(National),1945,James B. Reston,The New York Times
Telegraphic-Reporting-(National),1944,Dewey L. Fleming,The Baltimore Sun
Telegraphic-Reporting-(National),1943,None,None
Telegraphic-Reporting-(National),1942,Louis Stark,The New York Times
